# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786973668766,DTC,DTC present: 1 code(s)
1786973672524,ELM,ELM Connected (ELM327 (Bluetooth))
1786973677631,ZONE,battery ELEVATED → CRITICAL (FLAT)
1786973727936,ZONE,maf CRITICAL → GOOD (CRUISE OK)
1786973729132,ENGINE,Engine Start
1786973729132,ZONE,maf GOOD → WARN (LOW)
1786973729132,CHARGE,Charging problem began (ALT WEAK)
1786973730340,ZONE,maf WARN → GOOD (IDLE OK)
1786973730340,CHARGE,Charging problem ended
1786973731229,ZONE,battery CRITICAL → GOOD (ELD IDLE)
1786973732521,ZONE,map GOOD → WARN (HIGH IDLE)
1786973733599,ZONE,map WARN → GOOD (CRUISE)
1786973754352,ZONE,map GOOD → WARN (HIGH IDLE)
1786973755375,ZONE,battery GOOD → WARN (LOW CHARGE)
1786973756389,ZONE,battery WARN → GOOD (ELD IDLE)
1786973756390,ZONE,map WARN → GOOD (IDLE)
1786973759238,ZONE,battery GOOD → WARN (ELD LOW)
1786973792125,ZONE,stft GOOD → WARN (SLIGHT LEAN)
1786973793380,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1786973793381,CHARGE,Charging problem began (WEAK CHARGE)
1786973794356,ZONE,stft WARN → ELEVATED (LEAN)
1786973799994,ZONE,stft ELEVATED → CRITICAL (BAD LEAN)
1786973833409,FUEL,Fuel system OPEN LOOP → CLOSED LOOP

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786973672520,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,,,,12.0,,
1786973674207,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,12.0,,OPEN LOOP
1786973675278,0.0,0.0,39.0,,,,0.0,,5.5,0.0,97.0,0.0,9.375,12.0,,OPEN LOOP
1786973676377,0.0,0.0,39.0,,,,0.0,,5.5,0.0,97.0,0.0,9.375,12.0,,OPEN LOOP
1786973677628,0.0,0.0,39.0,,36.0,,0.0,,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973678826,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973681160,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973682174,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973683344,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973685233,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
1786973686239,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
1786973688205,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
1786973689996,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
1786973691023,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
1786973692907,0.0,0.0,39.0,,36.0,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
1786973694009,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,,0.0,9.375,11.9,,OPEN LOOP
